,Tweet
0,"RT @GKamworor: You are my mentor,my training partner and my teammate,you trained and prepared well,go confidently in the direction of your…"
1,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
2,"RT @GKamworor: You are my mentor,my training partner and my teammate,you trained and prepared well,go confidently in the direction of your…"
3,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
4,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
5,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
6,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
7,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
8,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
9,Safaricom launches new M-Pesa logo in support of Eliud Kipchoge. https://t.co/XVR05Gq22Q #Eliud159
10,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
11,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
12,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
13,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
14,All our thoughts and prayers are with the G.O.A.T Eliud Kipchoge as he seeks to really prove that no human is limit… https://t.co/LoSYFCLxgN
15,RT @CarolRadull: Eliud Kipchoge first day in Vienna  ahead of the #INEOS159Challenge. He trained on the challenge course with several of hi…
16,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
17,"RT @DonaldBKipkorir: Meet Sir James A Ratcliffe, the richest man in UK who is sponsoring our Eliud Kipchoge at Vienna City Marathon to be t…"
18,"Eliud kipchoge is a monopoly, he has nobody to compete"
19,To Eliud Kipchoge. I really believe you can do it in less than 1.59 hrs to break your own record. Best wishes.… https://t.co/9HpcTmwHcv
20,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
21,RT @Prylade: As much as the world is cheering up a Kenyan who's ready to take a challenge fr breaking &lt;2hrs record in 42 KM race our very o…
22,@EliudKipchoge Your generosity to inspire many will prove you a hero again coming this weekend.All the best my brot… https://t.co/IDbOLoqHqe
23,"RT @GKamworor: You are my mentor,my training partner and my teammate,you trained and prepared well,go confidently in the direction of your…"
24,Safaricom changes Mpesa logo in support of Kipchoge https://t.co/XJ3hXRRseq
25,RT @Prylade: As much as the world is cheering up a Kenyan who's ready to take a challenge fr breaking &lt;2hrs record in 42 KM race our very o…
26,Marathon world record holder eager to turn it up a notch | https://t.co/fqG6NMDNYA via @SpinPh
27,RT @ahmednasirlaw: Excellence CREATES a BRAND...and ELIUD KIPCHOGE is a PRICELESS GLOBAL BRAND...#Eliud159 #eliudkipchoge https://t.co/KKWL…
28,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
29,"The world is prepared, the world is waiting, the world is ready to see the FIRST man attempt to break the 2hrs barr… https://t.co/O3EuGxXtbf"
30,"CNN: what is your motivation behind this race
Eliud kipchoge: I want to rush home and vie for kibra MP"
31,"RT @KKombani: I am withdrawing this criticism, in recognition of the fact that @dailynation has featured other stories on Eliud Kipchoge. H…"
32,Date set for Eliud Kipchoge’s sub 2 hour marathon attempt - Saturday 12th October https://t.co/Hw9YJGys9y
33,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
34,RT @mohammedhersi: This is class &gt;&gt;&gt; Safaricom changes M-Pesa logo to Eliud Kipchoge's name for seven days https://t.co/GGGXnXzV0n via @the…
35,"RT @NelsonHavi: Eliud Kipchoge is determined to defeat himself yesterday, today and here you are unsuccessfully struggling to defeat others…"
36,@SafaricomPLC @EliudKipchoge Ground is Eliud Kipchoge.He has the will and capacity to run1.58.9.45 million strong Kenyans behind him.
37,"RT @GKamworor: You are my mentor,my training partner and my teammate,you trained and prepared well,go confidently in the direction of your…"
38,"RT @ndatani: #CSWeek2019 eliud kipchoge #INEOS159 #CustomerServiceWeek2019 #KipchogeINEOSChallenge #TuesdayMotivation 
This week we dedicat…"
39,RT @Prylade: As much as the world is cheering up a Kenyan who's ready to take a challenge fr breaking &lt;2hrs record in 42 KM race our very o…
40,RT @Asmali77: Clinton Otieno is basically telling Eliud Kipchoge that Marathon record is hard to break.... https://t.co/e2jmT4MlQ5
41,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
42,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
43,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
44,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
45,"RT @jgault13: INEOS confirms that Eliud Kipchoge's attempt to break 2:00 for 26.2 miles will take place on Saturday, October 12.

Start tim…"
46,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
47,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
48,"RT @SafaricomPLC: To show our commitment and respect to our icon @EliudKipchoge, we will be changing our M-PESA brand for the next 7 days.…"
49,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
50,"RT @MutahiNgunyi: To ELIUD Kipchoge I want to SAY this. Kenya is in a HURRY. Instead of 1.59, MAKE it 1.57. BEAT the Record BADLY. LEAVE no…"
51,"How Eliud Kipchoge plans to break two-hour mark for marathon

https://t.co/JcowTbwmD3"
52,"Dubbed the INEOS 1:59 Challenge, Kipchoge could go down in the history books as the man who competed against time https://t.co/OAyCLScV4Q"
53,RT @Prylade: As much as the world is cheering up a Kenyan who's ready to take a challenge fr breaking &lt;2hrs record in 42 KM race our very o…
54,RT @Snduhukire: Eliud THE BEAST Kipchoge - the man on a mission to be the first HUMAN to run a 42km marathon in less than 2hrs. @EliudKipch…
